iter	Passed	Remaining
467	715	813
468	716	811
469	717	809
470	719	807
471	720	806
472	721	804
473	723	802
474	724	800
475	725	798
476	726	796
477	727	794
478	728	792
479	729	790
480	730	788
481	732	786
482	733	784
483	734	782
484	735	781
485	736	779
486	737	777
487	738	774
488	739	773
489	741	771
490	742	769
491	743	767
492	744	765
493	745	763
494	746	761
495	748	760
496	749	758
497	750	756
498	751	754
499	752	752
500	753	750
501	755	748
502	756	747
503	757	745
504	758	743
505	759	741
506	760	739
507	761	737
508	762	735
509	764	734
510	765	732
511	766	730
512	767	728
513	768	726
514	769	724
515	770	722
516	771	720
517	772	719
518	773	717
519	774	715
520	776	713
521	777	711
522	778	709
523	779	708
524	780	706
525	781	704
526	782	702
527	783	700
528	784	698
529	786	697
530	787	695
531	788	693
532	789	691
533	790	689
534	791	687
535	792	686
536	793	684
537	794	682
538	796	680
539	797	679
540	798	677
541	799	675
542	800	673
543	802	672
544	803	670
545	804	668
546	805	667
547	806	665
548	807	663
549	809	661
550	810	660
551	811	658
552	812	656
553	813	654
554	814	653
555	815	651
556	817	649
557	818	648
558	819	646
559	820	644
560	821	642
561	822	641
562	823	639
563	824	637
564	826	636
565	827	634
566	828	632
567	829	630
568	830	629
569	831	627
570	832	625
571	834	624
572	835	622
573	836	620
574	837	618
575	838	617
576	839	615
577	840	613
578	841	611
579	842	610
580	843	608
581	844	606
582	845	604
583	846	603
584	848	601
585	849	600
586	850	598
587	851	596
588	852	595
589	854	593
590	855	591
591	856	590
592	857	588
593	858	586
594	859	585
595	860	583
596	862	581
597	863	580
598	864	578
599	865	577
600	866	575
601	867	573
602	868	572
603	869	570
604	870	568
605	871	566
606	872	565
607	873	563
608	874	561
609	876	560
610	877	558
611	878	557
612	880	555
613	881	553
614	882	552
615	883	550
616	885	549
617	886	548
618	888	546
619	889	544
620	890	543
621	891	541
622	892	540
623	894	538
624	895	537
625	896	535
626	897	533
627	898	532
628	899	530
629	900	529
630	902	527
631	903	526
632	904	524
633	906	523
634	907	521
635	908	519
636	909	518
637	910	516
638	911	514
639	912	513
640	913	511
641	914	509
642	915	508
643	916	506
644	917	505
645	918	503
646	920	502
647	921	500
648	922	498
649	923	497
650	925	495
651	926	494
652	927	493
653	929	491
654	930	490
655	931	488
656	933	487
657	934	485
658	935	483
659	936	482
660	937	480
661	938	479
662	939	477
663	940	476
664	941	474
665	943	472
666	943	471
667	945	469
668	946	468
669	947	466
670	948	465
671	949	463
672	950	462
673	952	460
674	953	459
675	954	457
676	955	455
677	956	454
678	957	452
679	958	451
680	960	449
681	961	448
682	962	446
683	963	445
684	964	443
685	965	441
686	966	440
687	967	438
688	968	437
689	969	435
690	970	433
691	971	432
692	972	430
693	973	429
694	974	427
695	975	426
696	976	424
697	977	423
698	978	421
699	979	419
700	981	418
701	982	417
702	983	415
703	984	413
704	985	412
705	986	410
706	987	409
707	988	407
708	989	406
709	991	404
710	992	403
711	993	401
712	994	400
713	995	398
714	996	397
715	997	395
716	998	394
717	999	392
718	1000	391
719	1002	389
720	1003	388
721	1005	387
722	1006	385
723	1007	384
724	1008	382
725	1009	381
726	1011	379
727	1012	378
728	1013	376
729	1014	375
730	1015	373
731	1016	372
732	1018	370
733	1019	369
734	1021	368
735	1022	366
736	1023	365
737	1024	363
738	1026	362
739	1027	360
740	1028	359
741	1029	358
742	1031	356
743	1032	355
744	1033	353
745	1035	352
746	1036	351
747	1037	349
748	1038	348
749	1040	346
750	1041	345
751	1042	343
752	1044	342
753	1045	340
754	1046	339
755	1047	337
756	1048	336
757	1049	335
758	1050	333
759	1051	332
760	1052	330
761	1054	329
762	1056	328
763	1057	326
764	1058	325
765	1059	323
766	1060	322
767	1061	320
768	1062	319
769	1064	317
770	1065	316
771	1066	315
772	1067	313
773	1069	312
774	1070	310
775	1071	309
776	1072	307
777	1073	306
778	1074	304
779	1075	303
780	1077	302
781	1078	300
782	1079	299
783	1080	297
784	1082	296
785	1083	294
786	1084	293
787	1085	291
788	1086	290
789	1087	289
790	1088	287
791	1089	286
792	1091	284
793	1092	283
794	1093	282
795	1095	280
796	1096	279
797	1097	277
798	1098	276
799	1099	274
800	1100	273
801	1101	272
802	1102	270
803	1104	269
804	1105	267
805	1106	266
806	1107	264
807	1108	263
808	1109	261
809	1110	260
810	1112	259
811	1113	257
812	1114	256
813	1115	254
814	1116	253
815	1117	252
816	1119	250
817	1120	249
818	1121	247
819	1122	246
820	1124	245
821	1125	243
822	1126	242
823	1128	240
824	1129	239
825	1130	238
826	1131	236
827	1133	235
828	1134	233
829	1135	232
830	1136	231
831	1137	229
832	1138	228
833	1140	226
834	1141	225
835	1142	224
836	1143	222
837	1144	221
838	1146	219
839	1147	218
840	1148	217
841	1150	215
842	1151	214
843	1152	213
844	1154	211
845	1155	210
846	1156	208
847	1158	207
848	1159	206
849	1160	204
850	1161	203
851	1163	202
852	1164	200
853	1166	199
854	1167	197
855	1168	196
856	1169	195
857	1171	193
858	1172	192
859	1173	191
860	1174	189
861	1176	188
862	1177	186
863	1179	185
864	1180	184
865	1181	182
866	1183	181
867	1184	180
868	1185	178
869	1186	177
870	1188	175
871	1189	174
872	1190	173
873	1192	171
874	1194	170
875	1195	169
876	1197	167
877	1198	166
878	1200	165
879	1201	163
880	1203	162
881	1205	161
882	1207	159
883	1208	158
884	1210	157
885	1211	155
886	1213	154
887	1214	153
888	1216	151
889	1217	150
890	1218	149
891	1219	147
892	1221	146
893	1222	144
894	1223	143
895	1225	142
896	1226	140
897	1227	139
898	1228	138
899	1230	136
900	1231	135
901	1232	133
902	1233	132
903	1234	131
904	1236	129
905	1237	128
906	1239	127
907	1240	125
908	1241	124
909	1242	122
910	1243	121
911	1244	120
912	1245	118
913	1247	117
914	1248	115
915	1249	114
916	1250	113
917	1251	111
918	1252	110
919	1253	109
920	1255	107
921	1256	106
922	1257	104
923	1258	103
924	1259	102
925	1260	100
926	1261	99
927	1263	97
928	1264	96
929	1265	95
930	1266	93
931	1267	92
932	1268	91
933	1269	89
934	1270	88
935	1271	86
936	1272	85
937	1274	84
938	1275	82
939	1276	81
940	1277	80
941	1278	78
942	1279	77
943	1280	75
944	1282	74
945	1283	73
946	1284	71
947	1286	70
948	1287	69
949	1288	67
950	1289	66
951	1290	65
952	1291	63
953	1292	62
954	1294	60
955	1295	59
956	1296	58
957	1297	56
958	1298	55
959	1299	54
960	1301	52
961	1302	51
962	1303	50
963	1304	48
964	1305	47
965	1306	45
966	1307	44
967	1308	43
968	1310	41
969	1311	40
970	1312	39
971	1313	37
972	1314	36
973	1315	35
974	1317	33
975	1318	32
976	1319	31
977	1320	29
978	1321	28
979	1322	26
980	1323	25
981	1324	24
982	1325	22
983	1326	21
984	1327	20
985	1329	18
986	1330	17
987	1331	16
988	1332	14
989	1333	13
990	1335	12
991	1336	10
992	1337	9
993	1338	8
994	1339	6
995	1340	5
996	1342	4
997	1343	2
998	1344	1
999	1345	0
